T2M,PRECTOTCORR,WS10M,PS,AQI,Location,hasSprinkler,isIndustrial,policy_suggestion
26.45,4.28,2.01,101.67,291,1,0,0,2
36.03,2.76,5.02,98.09,348,17,1,0,6
32.85,2.57,5.04,98.51,330,16,0,0,3
8.44,8.95,0.5,102.8,500,2,0,1,5
16.71,9.93,0.66,102.52,412,14,0,0,5
8.28,7.54,3.71,102.9,345,2,0,1,6
35.71,3.94,2.26,99.13,227,11,1,0,2
24.85,1.2,0.98,101.84,357,1,0,0,6
10.1,2.21,0.64,101.07,480,11,1,0,5
31.8,21.87,8.18,100.44,185,2,0,1,1
36.84,1.63,5.2,98.29,424,7,0,1,5
34.04,68.44,7.81,100.53,83,3,0,0,8
44.22,2.72,2.02,98.51,249,4,0,0,7
23.91,0.16,2.09,100.73,355,9,1,0,6
28.19,2.3,0.74,101.65,445,4,0,0,5
41.1,3.86,4.27,98.3,412,19,0,1,3
30.39,26.19,8.1,99.08,121,0,0,0,1
2.0,4.17,2.33,101.11,346,6,0,0,10
18.39,1.52,1.26,100.46,419,17,1,0,3
13.67,9.67,1.29,102.33,448,9,1,0,5
43.57,2.11,2.51,98.65,191,3,0,0,7
27.25,0.91,1.43,101.8,432,7,0,1,5
45.76,3.77,2.97,99.18,253,2,0,1,7
36.63,3.77,1.1,98.54,144,15,0,0,1
17.24,0.42,1.43,102.2,304,16,0,0,6
26.3,47.01,12.37,100.42,105,4,0,0,9
34.72,38.66,4.91,99.36,147,0,0,0,8
28.81,3.47,2.32,101.72,333,18,0,0,2
33.07,19.64,7.14,99.67,183,2,0,1,1
43.7,3.51,4.64,99.12,362,2,0,1,7
19.68,2.41,1.77,100.77,432,12,0,0,3
25.16,63.66,4.49,100.6,65,12,0,0,9
33.43,12.31,9.71,100.0,209,0,0,0,1
10.55,5.41,2.0,101.62,229,11,1,0,1
33.0,46.45,7.76,99.26,127,18,0,0,8
31.77,51.88,6.8,100.63,112,1,0,0,9
16.06,1.56,2.84,101.7,484,5,1,0,5
12.05,2.48,1.07,101.37,233,5,1,0,1
34.91,1.76,4.11,98.67,203,14,0,0,2
36.47,0.34,4.92,98.57,271,6,0,0,1
31.85,29.93,3.68,99.75,64,1,0,0,0
26.77,3.67,0.79,101.56,400,9,1,0,6
31.01,79.28,6.9,100.88,180,15,0,0,8
25.11,38.76,14.73,99.21,81,6,0,0,9
34.79,46.66,5.28,100.16,148,1,0,0,9
31.05,43.76,11.88,100.26,52,3,0,0,9
25.35,0.72,1.99,100.34,495,12,0,0,5
3.09,4.3,2.94,101.92,500,10,0,1,10
29.48,1.25,2.19,101.41,272,15,0,0,2
28.13,25.33,10.17,100.73,102,16,0,0,1
16.59,0.77,2.86,101.47,347,2,0,1,4
5.24,5.88,2.95,102.36,500,13,0,1,5
30.25,2.91,2.27,98.9,317,10,0,1,4
28.99,67.99,5.26,100.34,233,10,0,1,9
15.12,2.17,0.73,101.5,370,14,0,0,2
29.34,24.4,8.21,100.45,221,14,0,0,2
27.29,46.02,11.05,100.4,106,1,0,0,9
43.09,0.25,5.56,98.06,233,8,1,0,7
16.16,4.56,1.39,100.85,398,2,0,1,6
11.55,5.95,1.8,101.67,225,16,0,0,1
22.4,1.42,2.47,100.79,321,4,0,0,2
34.05,4.94,2.46,99.54,197,4,0,0,1
33.0,30.02,13.38,100.83,124,7,0,1,9
30.56,3.94,3.06,99.75,301,12,0,0,6
27.5,2.5,1.84,100.29,325,4,0,0,3
21.29,2.5,2.46,101.2,427,11,1,0,3
11.44,4.08,2.14,101.06,376,18,0,0,6
26.47,2.05,2.14,100.52,277,11,1,0,2
4.57,0.7,1.15,102.33,324,8,1,0,10
40.96,0.55,2.45,98.62,333,3,0,0,6
22.73,2.68,1.39,100.71,294,5,1,0,2
42.63,1.54,5.57,99.91,200,17,1,0,7
28.54,42.92,14.29,100.75,88,8,1,0,9
25.78,67.17,7.19,100.04,65,6,0,0,9
44.15,1.72,3.31,98.83,267,6,0,0,7
34.74,2.3,3.06,99.44,281,4,0,0,2
22.34,2.15,2.35,101.73,453,5,1,0,3
32.89,27.26,9.5,99.69,247,10,0,1,4
32.32,71.12,4.46,100.27,229,2,0,1,9
3.89,2.12,1.59,101.33,269,5,1,0,10
6.28,3.36,3.12,102.14,352,11,1,0,2
14.06,8.71,2.88,101.82,363,6,0,0,2
39.21,0.11,5.73,99.39,211,15,0,0,2
29.39,78.53,9.15,99.23,93,17,1,0,12
12.86,7.73,3.83,102.55,247,17,1,0,1
33.57,55.49,7.9,100.77,164,2,0,1,9
28.22,3.66,2.24,101.51,368,15,0,0,3
43.99,1.02,1.64,98.57,331,18,0,0,7
30.11,66.54,7.85,99.97,210,4,0,0,8
21.15,3.24,0.54,100.56,444,14,0,0,5
2.67,4.79,1.14,102.49,440,4,0,0,10
24.72,0.37,1.44,101.61,317,4,0,0,6
45.95,2.8,2.61,98.44,314,1,0,0,7
7.96,0.69,1.79,101.93,321,16,0,0,3
13.34,0.08,1.26,102.32,226,5,1,0,2
25.05,65.34,12.27,100.1,223,7,0,1,12
30.84,63.65,12.02,100.61,188,2,0,1,11
26.4,55.34,10.45,100.48,117,17,1,0,11
33.12,4.45,4.75,99.82,270,9,1,0,1
12.47,8.89,2.53,102.26,351,18,0,0,2
32.13,33.97,10.06,99.37,238,19,0,1,8
43.9,3.62,4.73,99.12,170,0,0,0,7
28.83,66.64,10.91,100.59,184,1,0,0,11
23.0,3.18,2.37,100.45,485,18,0,0,3
33.26,39.73,6.34,100.31,175,15,0,0,9
3.01,7.77,3.38,101.92,405,15,0,0,10
29.32,7.34,6.11,99.07,199,12,0,0,1
33.89,2.79,1.19,99.33,277,14,0,0,1
28.47,4.44,1.31,101.8,335,5,1,0,3
27.38,4.22,1.12,101.15,304,15,0,0,2
15.23,9.03,3.77,102.6,299,10,0,1,4
25.06,39.94,9.85,99.61,140,10,0,1,9
17.38,8.92,3.47,101.81,481,12,0,0,5
30.23,3.82,4.12,99.52,333,16,0,0,3
27.56,3.1,1.91,101.25,373,7,0,1,4
20.86,0.35,2.1,101.47,422,8,1,0,3
32.21,2.89,3.85,99.74,303,4,0,0,2
20.57,3.09,2.08,100.94,379,9,1,0,6
9.91,8.61,2.11,102.88,253,13,0,1,4
34.49,67.46,7.35,100.73,161,5,1,0,9
16.8,6.32,0.69,102.29,360,6,0,0,3
23.32,3.74,2.53,100.83,334,16,0,0,3
15.64,2.9,1.63,101.9,416,9,1,0,3
25.28,0.12,0.93,100.91,372,2,0,1,6
12.97,9.1,2.74,102.91,254,7,0,1,4
30.84,67.53,10.71,99.16,101,18,0,0,11
25.95,49.56,11.43,99.13,166,1,0,0,9
28.21,4.41,2.15,100.42,382,19,0,1,6
44.18,0.98,4.69,98.57,226,17,1,0,7
18.01,1.08,2.23,101.21,283,3,0,0,1
34.41,63.19,4.54,99.7,126,8,1,0,9
36.34,3.35,5.46,98.61,163,11,1,0,0
31.14,1.05,2.15,98.94,244,12,0,0,1
26.01,17.56,4.77,100.95,201,11,1,0,1
29.52,2.2,1.2,101.6,336,12,0,0,6
33.52,0.1,5.13,98.73,295,8,1,0,1
15.94,1.05,2.52,100.29,448,3,0,0,5
33.65,16.62,3.99,99.97,208,10,0,1,4
11.01,8.04,0.98,102.16,342,4,0,0,6
19.68,0.02,0.94,101.75,338,16,0,0,6
45.75,1.98,4.58,98.56,149,1,0,0,7
13.6,5.74,2.84,102.55,289,1,0,0,2
15.67,0.63,1.91,101.53,278,15,0,0,1
2.25,5.23,2.15,102.31,285,19,0,1,10
31.58,13.78,12.6,99.25,121,10,0,1,1
21.24,2.57,2.76,101.78,496,5,1,0,5
30.1,60.22,9.15,100.74,76,18,0,0,12
34.7,74.92,11.9,99.56,166,18,0,0,12
26.65,69.07,8.89,99.81,200,0,0,0,12
28.91,4.85,1.93,100.29,456,3,0,0,5
26.97,1.84,0.72,101.11,278,0,0,0,2
14.73,1.75,2.85,101.44,443,18,0,0,3
28.11,1.25,1.16,100.0,387,18,0,0,2
26.89,3.14,2.38,100.3,444,16,0,0,3
35.62,0.47,3.43,99.84,310,7,0,1,4
34.66,1.04,2.19,99.82,322,6,0,0,3
21.99,3.8,0.89,100.97,500,10,0,1,3
13.27,9.35,1.82,102.42,500,13,0,1,5
15.46,1.02,1.35,101.02,349,16,0,0,6
16.57,5.1,2.25,101.1,378,1,0,0,6
30.51,37.86,13.07,99.32,127,6,0,0,9
18.23,1.68,1.66,101.55,500,16,0,0,5
17.84,4.61,2.24,101.22,311,5,1,0,6
32.51,14.41,12.27,99.47,203,10,0,1,4
28.94,1.94,0.67,100.04,461,8,1,0,3
30.25,63.14,5.81,99.69,148,7,0,1,9
34.61,55.09,14.2,99.53,101,7,0,1,12
25.18,1.59,2.62,101.89,385,6,0,0,3
32.39,25.81,6.38,100.93,128,15,0,0,1
32.16,57.97,10.47,100.98,163,17,1,0,12
16.18,2.21,1.15,100.69,291,3,0,0,2
16.97,1.86,1.8,102.86,352,11,1,0,3
26.63,49.64,4.81,100.94,77,1,0,0,8
17.84,0.03,0.65,101.81,406,11,1,0,5
11.25,9.04,3.36,102.51,296,15,0,0,1
29.62,69.87,5.99,100.43,163,17,1,0,9
44.33,4.55,2.57,99.38,301,4,0,0,7
5.05,1.85,1.7,101.86,366,19,0,1,4
4.77,4.86,0.91,102.36,464,1,0,0,10
39.54,2.17,1.82,98.23,317,7,0,1,4
34.02,30.8,11.8,100.32,117,13,0,1,9
15.14,5.67,2.8,102.8,420,3,0,0,3
7.23,0.11,3.39,102.6,231,17,1,0,2
23.65,2.32,0.8,101.96,316,15,0,0,6
25.67,49.61,11.87,99.06,59,6,0,0,9
38.52,0.52,1.86,99.14,363,9,1,0,2
8.78,7.94,0.61,102.56,399,18,0,0,6
4.31,1.16,0.6,102.05,486,1,0,0,10
17.83,5.74,0.98,102.38,459,13,0,1,3
22.16,1.75,1.41,101.61,289,12,0,0,1
33.34,0.42,3.33,98.96,159,9,1,0,0
27.21,33.57,12.7,100.65,58,0,0,0,8
29.59,27.75,14.19,99.24,185,10,0,1,1
21.31,3.01,2.84,100.62,358,14,0,0,2
24.81,3.1,1.33,101.86,437,16,0,0,5
33.58,1.2,3.56,99.55,298,6,0,0,2
24.72,1.16,2.2,101.88,302,5,1,0,6
7.11,4.38,3.65,102.92,492,8,1,0,3
29.13,55.69,10.9,99.14,186,10,0,1,11
17.35,4.14,0.6,100.84,278,5,1,0,2
33.79,46.78,5.78,100.0,65,16,0,0,8
44.18,4.67,5.58,99.27,191,12,0,0,7
8.45,7.52,2.36,102.35,428,5,1,0,5
13.7,8.24,1.01,102.67,396,10,0,1,4
16.61,3.84,1.75,100.87,273,8,1,0,1
30.47,25.58,13.82,99.43,197,14,0,0,1
30.59,67.14,11.55,100.39,200,10,0,1,11
27.11,69.29,12.85,99.88,216,8,1,0,11
39.91,2.27,4.9,100.0,217,1,0,0,2
9.35,4.31,1.57,101.4,389,9,1,0,3
33.87,36.49,8.96,100.83,71,16,0,0,8
26.31,47.41,8.31,100.59,106,9,1,0,8
3.6,0.17,2.82,102.2,464,7,0,1,10
5.74,0.24,3.42,102.95,379,15,0,0,3
34.26,36.47,3.61,99.08,131,19,0,1,9
15.43,2.92,0.53,101.57,440,17,1,0,3
30.64,2.94,2.99,99.95,334,7,0,1,6
27.75,58.21,6.26,100.81,184,16,0,0,8
38.8,0.25,3.13,99.66,152,18,0,0,1
5.62,8.17,3.76,101.19,500,1,0,0,3
28.37,70.3,4.0,99.42,134,5,1,0,9
15.93,7.59,3.05,101.97,456,3,0,0,5
23.58,4.03,2.4,100.31,451,2,0,1,3
6.29,3.61,1.93,102.36,243,14,0,0,2
35.4,4.01,2.23,99.95,240,14,0,0,2
35.4,1.56,1.61,98.22,162,9,1,0,0
33.75,64.29,4.69,100.09,86,12,0,0,8
30.72,3.28,3.68,98.16,215,6,0,0,1
34.9,7.25,8.33,100.01,165,13,0,1,1
32.7,1.76,4.81,99.01,356,2,0,1,4
45.76,3.84,3.17,98.89,372,15,0,0,7
24.98,2.5,2.11,100.05,420,9,1,0,3
19.18,0.65,0.75,101.21,379,4,0,0,3
18.8,2.35,1.73,100.39,293,12,0,0,2
42.49,3.96,4.01,99.02,163,12,0,0,7
6.61,0.93,3.87,101.27,405,17,1,0,5
16.23,9.44,3.18,101.01,380,3,0,0,6
8.05,1.43,0.56,101.93,500,12,0,0,3
35.18,3.31,4.26,98.5,197,0,0,0,1
27.74,0.22,2.34,100.68,461,9,1,0,5
28.93,1.66,1.66,100.03,371,17,1,0,2
18.88,0.14,2.08,100.85,438,7,0,1,5
26.75,27.19,10.97,100.93,62,4,0,0,0
44.25,2.88,3.82,99.0,302,6,0,0,7
16.35,3.0,1.35,101.83,316,1,0,0,6
4.29,7.15,1.53,102.05,417,0,0,0,10
40.82,3.4,5.73,98.59,286,6,0,0,1
31.31,4.62,2.63,98.26,388,19,0,1,6
35.18,3.33,3.78,98.69,225,19,0,1,4
31.51,4.16,5.59,99.3,314,7,0,1,6
8.43,7.29,3.23,101.24,444,14,0,0,3
7.16,5.54,1.02,101.18,496,1,0,0,5
33.94,66.77,13.79,100.11,195,7,0,1,12
31.66,79.16,5.71,99.78,227,7,0,1,8
4.21,0.81,3.4,102.95,248,16,0,0,10
25.66,71.85,8.57,99.64,190,13,0,1,12
8.44,6.73,2.89,101.63,332,1,0,0,6
26.08,3.33,0.8,101.15,307,13,0,1,4
27.06,2.13,2.99,100.19,402,11,1,0,5
25.11,3.84,1.27,100.98,409,13,0,1,3
18.49,1.13,1.88,101.05,359,9,1,0,2
19.47,1.39,2.43,101.3,497,17,1,0,3
34.75,40.56,3.8,99.1,147,7,0,1,8
44.92,2.62,2.36,98.8,272,14,0,0,7
24.79,0.77,2.94,101.09,324,17,1,0,3
16.3,0.75,3.68,102.99,360,17,1,0,3
30.56,31.9,13.94,99.04,182,7,0,1,8
30.91,3.83,4.51,98.66,300,10,0,1,4
28.96,61.72,8.45,99.82,91,14,0,0,11
11.35,9.69,1.82,101.12,346,17,1,0,2
17.43,3.29,2.99,100.9,428,8,1,0,3
8.41,1.15,3.59,101.83,393,2,0,1,4
12.56,4.42,2.77,101.12,280,15,0,0,2
45.05,3.24,5.77,98.3,313,9,1,0,7
11.63,5.82,1.91,101.68,213,6,0,0,1
8.27,1.63,3.07,101.42,390,15,0,0,6
10.84,5.95,3.55,102.15,500,19,0,1,5
33.03,45.52,3.95,100.13,213,7,0,1,9
20.94,1.48,0.86,100.3,436,12,0,0,5
30.96,11.05,14.27,100.51,98,9,1,0,0
27.43,0.4,1.69,101.26,476,11,1,0,5
26.75,1.39,2.85,100.25,430,3,0,0,5
34.71,18.29,11.66,99.08,123,6,0,0,1
22.74,2.9,2.84,101.34,321,10,0,1,4
14.95,9.51,0.58,102.97,444,18,0,0,3
27.8,14.91,8.28,100.29,179,0,0,0,1
15.82,3.0,2.76,100.77,441,17,1,0,5
9.08,0.48,3.37,102.65,382,4,0,0,3
20.3,4.0,1.89,101.65,454,7,0,1,3
32.84,49.89,7.97,100.92,199,15,0,0,9
24.08,1.1,2.06,101.14,413,15,0,0,5
25.6,50.33,12.16,100.05,151,5,1,0,11
25.0,0.4,1.6,100.33,311,4,0,0,2
33.24,1.93,1.26,98.8,224,17,1,0,1
37.73,1.91,5.2,98.29,361,2,0,1,4
2.99,0.71,2.51,102.13,297,13,0,1,10
34.13,0.57,5.59,99.56,369,7,0,1,4
10.66,6.46,0.66,102.89,286,0,0,0,2
34.75,0.39,1.85,98.25,318,11,1,0,6
22.78,1.23,1.4,101.98,500,19,0,1,5
45.18,0.71,2.91,99.11,323,0,0,0,7
15.06,3.35,2.1,100.82,338,17,1,0,2
29.15,6.8,7.02,99.35,111,0,0,0,1
30.99,59.65,6.78,99.79,36,17,1,0,8
16.45,0.9,2.49,101.36,500,16,0,0,3
37.6,4.61,1.36,98.56,312,3,0,0,6
15.5,3.25,2.91,102.92,257,4,0,0,1
29.9,52.3,11.88,100.22,115,19,0,1,12
27.16,1.36,2.33,100.74,305,8,1,0,2
16.02,0.91,2.89,101.78,380,11,1,0,3
9.35,6.76,2.67,102.14,334,18,0,0,6
31.33,62.67,14.93,99.02,189,7,0,1,11
44.51,4.96,2.04,98.71,205,1,0,0,7
22.26,2.09,1.39,101.19,320,12,0,0,3
17.42,2.36,1.88,101.14,452,17,1,0,3
13.88,0.25,1.74,102.56,329,0,0,0,2
25.42,2.84,2.49,101.47,375,15,0,0,6
37.81,0.67,2.31,98.84,351,10,0,1,4
10.22,2.88,0.52,101.99,500,7,0,1,5
31.46,1.59,1.52,98.26,270,8,1,0,1
30.97,0.15,4.57,98.72,251,8,1,0,1
34.06,3.21,2.38,98.99,347,10,0,1,4
11.41,3.16,2.69,102.62,209,18,0,0,2
27.96,24.18,6.93,99.33,202,2,0,1,4
14.65,3.85,2.03,102.19,247,5,1,0,2
25.67,67.37,5.13,100.45,58,17,1,0,9
41.44,2.89,1.07,98.72,137,4,0,0,1
31.49,55.17,12.58,100.87,49,16,0,0,11
17.31,4.43,1.65,101.13,411,3,0,0,3
31.79,74.88,14.96,100.44,214,2,0,1,12
44.08,0.25,2.16,99.79,306,10,0,1,7
18.31,0.69,2.65,101.0,267,8,1,0,2
27.39,61.85,12.12,99.63,194,7,0,1,12
5.36,9.77,2.76,102.87,460,13,0,1,5
32.82,62.44,11.3,100.93,233,2,0,1,11
41.67,2.88,2.03,99.01,399,2,0,1,6
21.41,3.23,2.36,100.46,337,4,0,0,6
19.04,0.99,2.46,101.82,301,4,0,0,3
42.02,4.48,5.23,98.37,256,11,1,0,7
36.03,1.7,1.31,98.97,365,2,0,1,6
25.82,50.0,8.83,100.09,52,14,0,0,9
14.56,2.74,3.69,101.2,331,3,0,0,2
19.92,0.27,2.17,100.46,396,5,1,0,3
19.59,0.32,0.94,100.01,423,17,1,0,3
31.35,3.41,2.18,99.89,317,0,0,0,3
34.63,3.92,5.02,99.97,283,17,1,0,2
40.84,1.26,5.37,98.34,229,12,0,0,2
25.76,2.38,2.62,100.77,378,13,0,1,4
15.38,5.49,1.16,102.44,372,17,1,0,6
9.37,8.29,3.4,102.42,319,16,0,0,6
9.5,7.06,3.73,101.28,244,12,0,0,1
26.13,35.58,13.64,99.09,115,8,1,0,9
12.87,6.31,1.45,101.5,228,15,0,0,1
19.47,3.88,1.48,100.28,492,5,1,0,5
30.44,78.18,7.43,99.71,228,13,0,1,9
30.21,38.05,13.56,100.01,130,2,0,1,9
29.74,1.25,0.68,101.33,364,7,0,1,4
36.64,2.11,4.93,98.39,184,14,0,0,1
31.49,36.42,8.5,99.51,152,4,0,0,8
30.13,29.06,10.15,100.99,92,12,0,0,0
28.81,1.73,0.64,100.41,500,19,0,1,5
27.2,5.02,13.98,100.69,74,14,0,0,0
4.69,1.2,0.74,102.45,326,13,0,1,10
26.19,43.43,7.19,99.75,83,9,1,0,8
32.19,13.3,3.43,100.99,75,15,0,0,0
26.25,1.37,2.06,100.16,413,5,1,0,5
26.09,3.43,2.54,101.75,387,9,1,0,6
31.72,7.38,9.42,99.08,205,7,0,1,4
28.21,47.18,6.35,100.57,132,12,0,0,9
36.38,4.31,2.34,99.07,186,11,1,0,0
7.21,9.54,0.93,101.04,212,18,0,0,1
31.1,4.96,5.76,98.27,293,17,1,0,2
17.77,2.14,0.65,100.45,310,6,0,0,3
21.58,4.89,2.52,101.47,354,2,0,1,6
33.4,30.45,11.51,100.99,70,4,0,0,8
12.78,8.44,3.71,102.44,269,8,1,0,2
30.33,3.8,1.21,99.73,353,12,0,0,3
17.58,2.38,2.34,100.28,455,19,0,1,5
15.2,2.56,2.42,101.87,406,17,1,0,3
43.11,4.44,2.0,98.57,231,11,1,0,7
8.03,3.93,2.41,101.32,317,3,0,0,6
4.68,3.1,2.26,102.59,497,11,1,0,10
40.33,0.78,3.74,98.17,330,19,0,1,6
21.2,0.2,1.18,101.91,349,10,0,1,4
35.64,0.22,1.9,98.78,308,0,0,0,3
4.26,7.64,0.88,102.96,363,7,0,1,10
32.75,30.69,10.53,99.38,85,14,0,0,9
17.01,9.18,3.61,102.25,293,14,0,0,2
16.04,1.67,1.28,101.27,331,0,0,0,2
17.23,2.98,2.54,100.76,460,9,1,0,3
5.15,2.37,1.55,102.29,240,3,0,0,2
31.96,32.19,12.89,99.41,184,9,1,0,9
22.76,2.07,1.0,100.82,435,6,0,0,5
35.06,0.28,4.05,98.48,325,15,0,0,3
25.81,16.04,6.58,99.18,77,14,0,0,0
28.97,23.42,12.75,99.69,148,2,0,1,1
39.13,2.91,4.57,98.48,319,1,0,0,2
34.52,0.4,5.38,99.46,324,10,0,1,4
7.25,3.72,3.16,101.68,318,7,0,1,4
15.82,1.57,1.75,100.43,500,10,0,1,5
16.31,2.44,2.23,100.52,473,7,0,1,3
27.44,0.95,2.79,101.11,487,5,1,0,5
8.89,3.12,3.04,102.59,357,0,0,0,3
29.79,3.96,2.0,100.68,334,18,0,0,3
2.66,7.45,2.06,101.04,302,0,0,0,10
28.87,48.76,8.57,100.24,182,6,0,0,8
40.59,1.1,1.56,99.19,305,18,0,0,6
25.27,33.54,4.27,100.06,34,5,1,0,9
27.08,1.5,2.91,101.07,320,6,0,0,2
25.21,3.33,1.78,100.86,388,8,1,0,6
15.33,1.79,1.33,100.78,386,10,0,1,6
41.81,4.28,5.69,98.98,160,18,0,0,1
33.56,36.37,6.71,100.87,165,11,1,0,9
16.36,1.19,1.65,102.63,500,19,0,1,5
36.3,2.37,5.27,98.68,386,19,0,1,4
31.41,3.88,5.24,98.36,373,10,0,1,4
32.65,3.53,3.68,99.27,217,9,1,0,1
5.39,0.41,1.63,102.12,298,11,1,0,2
13.82,3.06,1.43,102.39,500,13,0,1,5
3.48,5.32,3.38,101.2,500,13,0,1,10
9.72,0.57,1.11,102.41,275,15,0,0,1
33.98,48.7,4.49,99.24,126,15,0,0,8
26.84,29.63,8.85,99.05,167,5,1,0,0
36.53,1.4,1.68,99.46,238,14,0,0,2
26.62,1.93,1.77,101.71,481,0,0,0,3
27.08,0.68,0.67,101.79,312,6,0,0,6
19.32,3.62,2.59,101.72,348,16,0,0,3
27.78,0.2,0.62,101.25,280,15,0,0,2
7.19,6.73,1.68,101.36,264,15,0,0,1
37.74,2.15,1.37,98.21,226,18,0,0,1
33.84,0.97,3.52,99.54,192,9,1,0,0
11.23,1.19,0.63,101.11,462,8,1,0,5
21.57,4.22,1.16,100.84,464,5,1,0,5
37.19,2.89,3.85,98.66,214,17,1,0,1
26.07,32.51,4.19,100.53,159,8,1,0,8
17.52,8.65,2.6,102.4,229,14,0,0,2
12.96,2.9,1.21,101.53,377,3,0,0,3
16.43,2.1,0.78,100.34,335,1,0,0,3
32.63,0.32,2.59,98.44,281,11,1,0,2
3.64,7.52,3.67,102.49,263,3,0,0,10
33.61,57.12,3.13,99.79,118,6,0,0,9
4.02,5.82,3.18,101.81,184,5,1,0,10
16.39,6.24,0.96,101.62,423,6,0,0,3
32.6,55.73,6.61,99.37,109,18,0,0,9
9.59,2.26,2.66,101.08,470,19,0,1,5
29.69,16.1,14.82,99.42,157,9,1,0,0
28.42,78.94,13.06,100.62,149,18,0,0,11
15.13,1.91,1.25,100.07,239,4,0,0,1
8.45,6.35,2.67,101.24,407,8,1,0,3
9.12,4.88,3.35,101.2,442,7,0,1,5
18.23,3.14,2.81,102.0,500,7,0,1,5
27.36,28.27,7.79,99.48,40,4,0,0,0
29.32,4.59,0.62,100.68,500,13,0,1,5
33.82,3.14,4.2,99.7,384,2,0,1,6
30.43,54.02,6.29,100.19,152,16,0,0,9
17.0,1.21,1.23,101.85,339,14,0,0,3
34.63,1.85,4.32,98.24,233,18,0,0,1
30.83,71.33,4.82,100.2,79,14,0,0,8
21.29,3.51,1.53,101.01,397,17,1,0,2
13.07,6.61,0.63,101.74,444,13,0,1,5
29.21,42.65,13.92,100.43,155,8,1,0,9
14.76,8.64,2.1,101.95,445,10,0,1,5
41.03,4.32,5.98,98.85,309,10,0,1,4
15.46,3.63,2.69,100.44,500,3,0,0,3
3.0,8.23,1.59,101.8,363,3,0,0,10
27.59,3.25,2.04,100.35,418,14,0,0,3
